CHROM,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
OTAU015061-RA,8.137668424,0.66763694,0.197415275,3.381890999,0.000719887,0.039712449
OTAU003442-RA,467.357279,0.347642006,0.102915395,3.377939775,0.000730311,0.040140437
OTAU005505-RA,566.7253321,0.223987491,0.066365278,3.375070496,0.000737968,0.040267376
OTAU015275-RA,6.927687355,0.776201919,0.229971233,3.375213109,0.000737586,0.040267376
OTAU010223-RA,63.64191916,-0.360798414,0.107065834,-3.369874418,0.000752024,0.040886241
OTAU013799-RA,106.1814761,-0.412760492,0.122602201,-3.366664611,0.000760832,0.041216272
OTAU010358-RA,428.4184656,0.213204391,0.063348066,3.365602199,0.000763768,0.04122703
OTAU001041-RA,502.3004305,0.149208735,0.044398974,3.360634774,0.000777636,0.041825697
OTAU010918-RA,2378.901199,0.413014034,0.122976388,3.358482403,0.000783717,0.042002775
OTAU001546-RA,231.9706778,-0.27375794,0.081606317,-3.354617007,0.000794749,0.042077658
OTAU003242-RA,188.7830776,0.27623132,0.082332925,3.355052927,0.000793498,0.042077658
OTAU007430-RA,9.92231652,-0.720979298,0.214901725,-3.354925597,0.000793863,0.042077658
OTAU017258-RA,47.75254265,-0.423695712,0.126322443,-3.354081054,0.00079629,0.042077658
OTAU015188-RA,333.6780331,-0.297589638,0.088783183,-3.35186943,0.000802679,0.042266925
OTAU010965-RA,1385.849726,0.619544935,0.184914267,3.3504442,0.000806821,0.042336999
OTAU010547-RA,12.45967888,-0.904574108,0.270184762,-3.347983441,0.000814019,0.042392703
OTAU012656-RA,20.08843624,-0.901375795,0.269292592,-3.347198631,0.000816327,0.042392703
OTAU013523-RA,2.914526385,-0.80094992,0.23924565,-3.347813931,0.000814517,0.042392703
OTAU004806-RA,207.6480234,-0.584889835,0.175084015,-3.340623835,0.000835904,0.043260183
OTAU012921-RA,700.1671611,0.209791208,0.062842337,3.338373764,0.000842703,0.043462702
OTAU009657-RA,55.22693186,-0.478112857,0.14357505,-3.330055305,0.000868287,0.044309105
OTAU013258-RA,188.7339086,0.864489633,0.259666995,3.329224165,0.000870883,0.044309105
OTAU014749-RA,66.91569576,-0.494680187,0.148580439,-3.329376255,0.000870407,0.044309105
OTAU016290-RA,9.902264176,0.849940227,0.255091976,3.33189715,0.000862561,0.044309105
OTAU002960-RA,453.5421519,0.745241372,0.224081456,3.325761019,0.000881775,0.044678584
OTAU008397-RA,242.7538755,0.294823842,0.088667924,3.325033782,0.000884078,0.044678584
OTAU015240-RA,727.2740507,0.199789995,0.060117831,3.32330676,0.00088957,0.044805782
OTAU006614-RA,4279.119414,0.159888527,0.048127092,3.322214554,0.00089306,0.044831609
OTAU017150-RA,527.2083132,0.163003103,0.049086042,3.320762811,0.000897718,0.044915722
OTAU014672-RA,35.83307591,-0.87373307,0.263251575,-3.319004153,0.000903391,0.045049888
OTAU008065-RA,31.0488112,-0.621146834,0.187267791,-3.316890915,0.000910251,0.045242203
OTAU006022-RA,2003.250403,0.208195181,0.062816742,3.314326301,0.000918642,0.045407248
OTAU012539-RA,3393.104319,0.211582458,0.063844378,3.314034284,0.000919602,0.045407248
OTAU013810-RA,258.9823147,-0.237408998,0.071657991,-3.313084742,0.00092273,0.045412799
OTAU009556-RA,30.95497477,-0.880931812,0.26629447,-3.308111556,0.000939274,0.045926832
OTAU014946-RA,24.14437556,-0.60449595,0.182708584,-3.308525174,0.000937888,0.045926832
OTAU016818-RA,45.54877632,0.540667384,0.16350122,3.306809475,0.000943651,0.04599151
OTAU005928-RA,3.008225135,-0.829240018,0.250876924,-3.305365854,0.000948525,0.046079955
OTAU003225-RA,780.4075597,0.198251016,0.060037457,3.302122123,0.000959563,0.04646629
OTAU011009-RA,1606.799104,-0.166055064,0.050323649,-3.299742091,0.000967737,0.04671193
OTAU010000-RA,1528.437788,0.166291559,0.050415046,3.298451029,0.000972198,0.04677734
OTAU005939-RA,108.2359628,-0.292369136,0.088839977,-3.290963664,0.000998448,0.047548843
OTAU008425-RA,37.73137983,0.586095907,0.178031656,3.292088153,0.000994464,0.047548843
OTAU010092-RA,78.74538164,0.357145411,0.108545457,3.290284281,0.001000862,0.047548843
OTAU014065-RA,409.0069845,0.322631955,0.098011658,3.291771224,0.000995586,0.047548843
OTAU004209-RA,374.4404471,0.213282437,0.064927895,3.28491223,0.001020141,0.047917495
OTAU006222-RA,57.38000499,-0.431829926,0.131522149,-3.283324736,0.001025904,0.047917495
OTAU008689-RA,72.05665184,0.549146716,0.167140821,3.285533205,0.001017895,0.047917495
OTAU013347-RA,559.5698309,0.59784229,0.181993681,3.284961797,0.001019962,0.047917495
OTAU014747-RA,14.8674067,0.88899033,0.270703259,3.284003063,0.001023438,0.047917495
OTAU016007-RA,1541.833057,0.203922321,0.062133558,3.28199972,0.001030737,0.047917495
OTAU016224-RA,1.119995874,-0.855544543,0.26068124,-3.281956709,0.001030894,0.047917495
OTAU008970-RA,4000.952078,0.832994459,0.253955141,3.28008504,0.001037758,0.04808811
OTAU008286-RA,5.037544218,-0.829970016,0.253175679,-3.278237542,0.001044575,0.048107928
OTAU013051-RA,855.5875162,0.736045507,0.224495479,3.278665159,0.001042993,0.048107928
OTAU004025-RA,31.46038984,-0.361217039,0.110301141,-3.274825961,0.001057271,0.048544205
OTAU001939-RA,6.215974499,-0.807453729,0.246634598,-3.273886698,0.001060791,0.048557805
OTAU003198-RA,60.43231178,0.446087713,0.136392665,3.270613648,0.001073144,0.048679369
OTAU011229-RA,135.7403964,-0.492794917,0.150650655,-3.271110347,0.001071261,0.048679369
OTAU012906-RA,1007.8343,0.870909882,0.266260571,3.270893174,0.001072084,0.048679369
OTAU000291-RA,789.4926219,0.230702733,0.070584724,3.268451297,0.001081378,0.048759134
OTAU013116-RA,46.27165123,-0.555514497,0.169951083,-3.268672886,0.001080531,0.048759134
OTAU014048-RA,550.1421553,0.708206863,0.216787037,3.266832155,0.001087581,0.048892466
OTAU013958-RA,17.86109964,-0.705167288,0.215956016,-3.26532829,0.001093373,0.048904809
OTAU015803-RA,5.278050007,-0.844745361,0.258721573,-3.26507508,0.001094351,0.048904809
OTAU006007-RA,285.3890258,-0.227793437,0.069813701,-3.262875825,0.001102878,0.048995126
OTAU015854-RA,5.900208085,-0.83937779,0.257248867,-3.262901798,0.001102777,0.048995126
OTAU012888-RA,1207.504216,0.247698783,0.076124492,3.253864504,0.001138466,0.050137133
OTAU015044-RA,901.0354012,0.299767986,0.092109214,3.254484252,0.001135985,0.050137133
OTAU015089-RA,2.244763832,-0.821539936,0.252483364,-3.253837887,0.001138572,0.050137133
OTAU001519-RA,288.8560566,-0.289947629,0.089207336,-3.250266632,0.001152969,0.050329583
OTAU003417-RA,185.3552008,0.428714703,0.131872126,3.25098804,0.001150047,0.050329583
OTAU011020-RA,223.9570714,-0.235815503,0.072523563,-3.251570854,0.001147692,0.050329583
OTAU007854-RA,3.284126051,0.835421164,0.257289258,3.247011444,0.001166237,0.050761645
OTAU005019-RA,258.9717314,-0.339801967,0.104739618,-3.244254401,0.001177585,0.050814995
OTAU005954-RA,254.4787292,-0.31463003,0.096938815,-3.24565582,0.001171804,0.050814995
OTAU017057-RA,32.76721351,-0.358775031,0.110564023,-3.244952745,0.001174701,0.050814995
OTAU003440-RA,26.80387995,-0.662123034,0.204289513,-3.241101434,0.001190688,0.051233607
OTAU009207-RA,1227.034905,-0.802212302,0.247669369,-3.239045293,0.001199305,0.051457371
OTAU002546-RA,1199.51198,0.14179723,0.043798376,3.237499741,0.00120582,0.051589933
OTAU007461-RA,850.1061524,0.168998069,0.052288877,3.232007997,0.001229236,0.052442767
OTAU010365-RA,739.621925,0.204450581,0.063311973,3.229256182,0.001241127,0.052503839
OTAU013160-RA,1.333372731,0.875489695,0.270993609,3.230665464,0.001235024,0.052503839
OTAU013178-RA,12.93582764,-0.677323072,0.20972853,-3.229522806,0.00123997,0.052503839
OTAU015167-RA,2.979682428,0.776030666,0.240517203,3.226507942,0.001253108,0.052862184
OTAU003111-RA,90.18937174,-0.299968436,0.093025883,-3.224569607,0.001261622,0.05292486
OTAU011995-RA,679.176736,0.155798555,0.048311832,3.224852971,0.001260374,0.05292486
OTAU007168-RA,1068.768328,0.245688605,0.076250631,3.222118967,0.001272463,0.053231364
OTAU007632-RA,4192.985043,0.218437908,0.068007195,3.2119823,0.001318225,0.054992986
