CHROM,pvalue
OTAU016082-RA,0.002058949
OTAU016306-RA,0.002065468
OTAU006370-RA,0.002086039
OTAU001780-RA,0.002096354
OTAU012595-RA,0.002099015
OTAU015564-RA,0.002103275
OTAU003885-RA,0.002113612
OTAU000812-RA,0.002148398
OTAU003730-RA,0.002144038
OTAU014082-RA,0.002154992
OTAU007086-RA,0.002187031
OTAU011135-RA,0.002201596
OTAU009224-RA,0.002211837
OTAU000214-RA,0.002229496
OTAU007836-RA,0.002237678
OTAU008543-RA,0.002240006
OTAU008370-RA,0.002262094
OTAU013417-RA,0.002263528
OTAU007772-RA,0.002273595
OTAU012702-RA,0.002272992
OTAU003127-RA,0.002291579
OTAU016993-RA,0.002291691
OTAU016817-RA,0.002319711
OTAU002317-RA,0.00235243
OTAU002385-RA,0.002352934
OTAU000791-RA,0.002373319
OTAU009777-RA,0.00239348
OTAU010013-RA,0.002406694
OTAU001257-RA,0.00242149
OTAU011027-RA,0.002435341
OTAU001934-RA,0.002483594
OTAU002037-RA,0.002519964
OTAU003305-RA,0.002526104
OTAU004714-RA,0.002530494
OTAU008931-RA,0.002525112
OTAU001566-RA,0.002560317
OTAU012543-RA,0.002557775
OTAU013815-RA,0.002565936
OTAU009993-RA,0.002583697
OTAU001812-RA,0.002622506
OTAU006275-RA,0.002646097
OTAU006729-RA,0.002641689
OTAU013587-RA,0.002643118
OTAU014947-RA,0.002631105
OTAU007946-RA,0.002671806
OTAU007955-RA,0.002672667
OTAU016505-RA,0.002671956
OTAU016695-RA,0.002662199
OTAU016772-RA,0.00268637
OTAU011353-RA,0.002717154
OTAU011749-RA,0.002739095
OTAU000034-RA,0.002747369
OTAU013672-RA,0.002778144
OTAU007838-RA,0.002802449
OTAU000576-RA,0.002819663
OTAU008533-RA,0.002819867
OTAU011209-RA,0.002861905
OTAU013371-RA,0.002858286
OTAU016030-RA,0.002858851
OTAU008070-RA,0.002906068
OTAU014156-RA,0.002903037
OTAU015225-RA,0.002899826
OTAU015586-RA,0.002923043
OTAU011284-RA,0.002932988
OTAU016898-RA,0.00297564
OTAU000235-RA,0.003027476
OTAU007302-RA,0.003023065
OTAU015488-RA,0.003028302
OTAU017321-RA,0.003012312
OTAU000446-RA,0.003037638
OTAU015804-RA,0.003040821
OTAU014154-RA,0.003050132
OTAU011399-RA,0.003078123
OTAU004020-RA,0.003095004
OTAU013932-RA,0.003093406
OTAU014102-RA,0.003099831
OTAU007244-RA,0.003117409
OTAU013010-RA,0.003123947
OTAU003873-RA,0.003154816
OTAU013635-RA,0.003168457
OTAU003174-RA,0.003187444
OTAU008545-RA,0.003191787
OTAU011655-RA,0.003221938
OTAU004986-RA,0.003231965
OTAU011725-RA,0.00326412
OTAU008898-RA,0.003283545
OTAU007456-RA,0.003302333
OTAU016142-RA,0.003313743
OTAU012042-RA,0.00334774
OTAU008540-RA,0.00335751
OTAU006335-RA,0.003365765
OTAU001891-RA,0.003389019
OTAU011336-RA,0.003384387
OTAU002711-RA,0.003426293
OTAU012843-RA,0.003420193
OTAU007152-RA,0.003451101
OTAU005734-RA,0.003475618
OTAU017381-RA,0.00347392
OTAU009066-RA,0.003492795
OTAU005111-RA,0.003541434
OTAU009882-RA,0.003540827
OTAU011704-RA,0.003554658
OTAU014108-RA,0.00356788
OTAU016598-RA,0.003601322
OTAU000328-RA,0.00361845
OTAU015796-RA,0.003689482
OTAU014803-RA,0.003743332
OTAU017426-RA,0.0037548
OTAU011964-RA,0.003764133
OTAU000610-RA,0.003803353
OTAU003757-RA,0.003795638
OTAU006749-RA,0.003810515
OTAU011793-RA,0.003790042
OTAU016638-RA,0.003805044
OTAU011480-RA,0.003862773
OTAU006935-RA,0.003874869
OTAU004936-RA,0.003887935
OTAU010108-RA,0.003889658
OTAU008947-RA,0.003899861
OTAU001394-RA,0.00392583
OTAU008028-RA,0.003949905
OTAU011858-RA,0.003952294
OTAU000487-RA,0.003975034
OTAU005372-RA,0.003976848
OTAU005926-RA,0.003983883
OTAU003046-RA,0.003991502
OTAU015494-RA,0.004050037
OTAU017227-RA,0.00404904
OTAU005901-RA,0.004078277
OTAU007085-RA,0.004059181
OTAU009204-RA,0.004079123
OTAU010138-RA,0.004071987
OTAU009808-RA,0.004101603
OTAU002695-RA,0.004113796
OTAU017135-RA,0.004116153
OTAU016875-RA,0.004160528
OTAU000067-RA,0.004240475
OTAU001599-RA,0.004232603
OTAU003422-RA,0.004293914
OTAU004001-RA,0.004286811
OTAU005041-RA,0.00427987
OTAU005904-RA,0.004270625
OTAU006820-RA,0.004256901
OTAU009036-RA,0.004252511
OTAU009425-RA,0.004191752
OTAU011509-RA,0.004294404
OTAU013134-RA,0.00426937
OTAU013334-RA,0.004237565
OTAU014845-RA,0.004195078
OTAU015884-RA,0.004203574
OTAU016190-RA,0.004229019
OTAU016994-RA,0.004266228
OTAU004253-RA,0.004342083
OTAU016226-RA,0.004353161
OTAU011897-RA,0.004374173
OTAU012154-RA,0.004371509
OTAU004465-RA,0.004385072
OTAU010471-RA,0.004396381
OTAU001725-RA,0.00442307
OTAU010042-RA,0.004426786
OTAU015985-RA,0.004414973
OTAU016462-RA,0.004526259
OTAU003987-RA,0.004588278
OTAU007850-RA,0.004573257
OTAU009842-RA,0.004566846
OTAU012254-RA,0.004558209
OTAU012548-RA,0.004584492
OTAU013885-RA,0.004591521
OTAU014487-RA,0.004563489
OTAU004997-RA,0.00460335
OTAU010738-RA,0.004616094
OTAU006753-RA,0.004653064
OTAU011033-RA,0.004658308
OTAU004522-RA,0.004675502
OTAU014625-RA,0.004673524
OTAU016215-RA,0.004735189
OTAU005312-RA,0.004768236
OTAU007802-RA,0.004796948
OTAU010330-RA,0.004817295
OTAU010511-RA,0.004816313
OTAU000272-RA,0.004855201
OTAU003908-RA,0.004836227
OTAU012845-RA,0.004856673
OTAU013108-RA,0.004851206
OTAU015636-RA,0.004845158
OTAU005487-RA,0.004920251
OTAU006664-RA,0.004892559
OTAU008469-RA,0.004906364
OTAU014276-RA,0.004920152
OTAU015865-RA,0.004903191
OTAU012117-RA,0.00492914
OTAU000438-RA,0.00494734
OTAU007880-RA,0.004970379
OTAU005760-RA,0.004993971
OTAU001106-RA,0.005100778
OTAU002357-RA,0.005126065
OTAU002943-RA,0.005046404
OTAU003566-RA,0.005087883
OTAU004239-RA,0.00511662
OTAU004362-RA,0.005106719
OTAU004994-RA,0.005062939
